	ndop
1045	1890.0
1046	1837.0
1047	1873.0
1048	1846.0
1049	1844.0
1050	1788.0
1051	1852.0
1052	1899.0
1053	1824.0
1054	1887.0
1055	1831.0
1056	
1057	1855.0
1058	
1059	1822.0
1060	1834.0
1061	1898.0
1062	1875.0
1063	1895.0
1064	1876.0
1065	1878.0
1066	
1067	1880.0
1068	1799.0
1069	1899.0
1070	1809.0
1071	1827.0
1072	1827.0
1073	1829.0
1074	1855.0
1075	1885.0
1076	1868.0
1077	1895.0
1078	1834.0
1079	1848.0
1080	1635.0
1081	
1082	1823.0
1083	1844.0
1084	1858.0
1085	1865.0
1086	1868.0
1087	1897.0
1088	1856.0
1089	1865.0
1090	1890.0
1091	1844.0
1092	1886.0
1093	1875.0
1094	1892.0
1095	1864.0
1096	1841.0
1097	
1098	1896.0
1099	
1100	
1101	1873.0
1102	1897.0
1103	1897.0
1104	
1105	
1106	1876.0
1107	1852.0
1108	
1109	1853.0
1110	
1111	1829.0
1112	1880.0
1113	
1114	1854.0
1115	1863.0
1116	1823.0
1117	
1118	1803.0
1119	1893.0
1120	1873.0
1121	
1122	1839.0
1123	1865.0
1124	1876.0
1125	1827.0
1126	1886.0
1127	1897.0
1128	
1129	
1130	1801.0
1131	1803.0
1132	1820.0
1133	1835.0
1134	
1135	1855.0
1136	1877.0
1137	
1138	
1139	
1140	1891.0
1141	1896.0
1142	1811.0
1143	1856.0
1144	
1145	
1146	
1147	
1148	
1149	1889.0
1150	
1151	1896.0
1152	1896.0
1153	1898.0
1154	1892.0
1155	1840.0
1156	1829.0
1157	1896.0
1158	1899.0
1159	1856.0
1160	1893.0
1161	1800.0
1162	1810.0
1163	1898.0
1164	1894.0
1165	1862.0
1166	1879.0
1167	1872.0
1168	
1169	1843.0
1170	1828.0
1171	1896.0
1172	1842.0
1173	1854.0
1174	1803.0
1175	1800.0
1176	1858.0
1177	1837.0
1178	1851.0
1179	1862.0
1180	1854.0
1181	1759.0
1182	1827.0
1183	1835.0
1184	1798.0
1185	1876.0
1186	1827.0
1187	1865.0
1188	1895.0
1189	1898.0
1190	1850.0
1191	1863.0
1192	
1193	1866.0
1194	1826.0
1195	1825.0
1196	1842.0
1197	1845.0
1198	
1199	1859.0
1200	1869.0
1201	1870.0
1202	
1203	1887.0
1204	1823.0
1205	1830.0
1206	1836.0
1207	1842.0
1208	1845.0
1209	1816.0
1210	1886.0
1211	1866.0
1212	1834.0
1213	1823.0
1214	1872.0
1215	1854.0
1216	1836.0
1217	1857.0
1218	1819.0
1219	1863.0
1220	
1221	1809.0
1222	1886.0
1223	1815.0
1224	1818.0
1225	1852.0
1226	1864.0
1227	1896.0
1228	
1229	1872.0
1230	
1231	1836.0
1232	1816.0
1233	1816.0
1234	1817.0
1235	
1236	1833.0
1237	1882.0
1238	1885.0
1239	1884.0
1240	
1241	1842.0
1242	1853.0
1243	1860.0
1244	1865.0
1245	1683.0
1246	1870.0
1247	
1248	1819.0
1249	1830.0
1250	1856.0
1251	1887.0
1252	1851.0
1253	1875.0
1254	1874.0
1255	
1256	1788.0
1257	1862.0
1258	1895.0
1259	1896.0
1260	1868.0
1261	1842.0
1262	1846.0
1263	1899.0
1264	1819.0
1265	1840.0
1266	1802.0
1267	1709.0
1268	
1269	1888.0
1270	1880.0
1271	1872.0
1272	1895.0
1273	1825.0
1274	1787.0
1275	1888.0
1276	1831.0
1277	1895.0
1278	1895.0
1279	1898.0
1280	1888.0
1281	1733.0
1282	1871.0
1283	1889.0
1284	1856.0
1285	1853.0
1286	1815.0
1287	1830.0
1288	1897.0
1289	1832.0
1290	1887.0
1291	
1292	1810.0
1293	1779.0
1294	1883.0
1295	1874.0
1296	1843.0
1297	1854.0
1298	
1299	1897.0
1300	1784.0
1301	1885.0
1302	1897.0
1303	1897.0
1304	1849.0
1305	1821.0
1306	1831.0
1307	
1308	1896.0
1309	1878.0
1310	1881.0
1311	1877.0
1312	
1313	
1314	1834.0
1315	1798.0
1316	1816.0
1317	1897.0
1318	1894.0
1319	1895.0
1320	1896.0
1321	1825.0
1322	1862.0
1323	1865.0
1324	1837.0
1325	1851.0
1326	1854.0
1327	1859.0
1328	1870.0
1329	1860.0
1330	1886.0
1331	1853.0
1332	1870.0
1333	1830.0
1334	1867.0
1335	1897.0
1336	1897.0
1337	1853.0
1338	1884.0
1339	1885.0
1340	1870.0
1341	1893.0
1342	1896.0
1343	1823.0
1344	1871.0
1345	1881.0
1346	1862.0
1347	1866.0
1348	1854.0
1349	1898.0
1350	
1351	1880.0
1352	1896.0
1353	1896.0
1354	1871.0
1355	1873.0
1356	
1357	
1358	1860.0
1359	1864.0
1360	
1361	1846.0
1362	1863.0
1363	1863.0
1364	1855.0
1365	1855.0
1366	
1367	1889.0
1368	
1369	1897.0
1370	1876.0
1371	1894.0
1372	1895.0
1373	1868.0
1374	1878.0
1375	
1376	
1377	1872.0
1378	1886.0
1379	1899.0
1380	1893.0
1381	1821.0
1382	1823.0
1383	1872.0
1384	1822.0
1385	1862.0
1386	1896.0
1387	1878.0
1388	1832.0
1389	1897.0
1390	1855.0
1391	1826.0
1392	1898.0
1393	
1394	1831.0
1395	1865.0
1396	1819.0
1397	1889.0
1398	1883.0
1399	1878.0
1400	1894.0
1401	1891.0
1402	1850.0
1403	1829.0
1404	1829.0
1405	1858.0
1406	1890.0
1407	1873.0
1408	
1409	1880.0
